height,burn_block_height,burn_block_time,txs,miner_txid
138706,829558,2024-02-09 04:52:14,327,https://mempool.space/tx/bb80c6201f5be1f72c8024fb6c1ebd6fb8362fbcbb4bb05959bdf68af87bede2
138705,829556,2024-02-09 04:34:34,392,https://mempool.space/tx/a60001115fc76d08522cd0dd15a09db82484db791d2afd124e12d78d7f16322a
138704,829555,2024-02-09 04:19:18,350,https://mempool.space/tx/4524b52279577b885de83b3aa69f229a78ee61e92d3ecc254ef937bc4bf7ec7b
138703,829554,2024-02-09 04:10:58,109,https://mempool.space/tx/ab558a0cd585df70743bf36a3d4e6d84c47b4002aa0329dec5704ec40ef8de25
138702,829553,2024-02-09 03:58:13,192,https://mempool.space/tx/c915a7be0063b8a8c94aee44baa0ff39db5cc473b4d6443ac5ae0df106a9953c
138701,829552,2024-02-09 03:54:56,486,https://mempool.space/tx/54bda7e2206fb1d5400a048da6b0903770ee613db6ae5019817cbc081b540d4c
138700,829551,2024-02-09 03:42:39,172,https://mempool.space/tx/ed9dd20ac8b849ba5e7fcbc741966ee0d77c91c1106408b63766b444847c6fb3
138699,829550,2024-02-09 03:08:02,122,https://mempool.space/tx/f3cc3cc6e0f6be12e7e98826e102f2c47ae900245a61832d2b0067bdd36f79eb
138698,829549,2024-02-09 02:59:31,125,https://mempool.space/tx/9836d35415e10bbcb08e8ce1a6bd304bad6d8afab674e84bb4274d22af4fb629
138697,829548,2024-02-09 02:53:33,792,https://mempool.space/tx/19d5c25a3af5a9f2f2d73ef6e65a6ab99a33d2726331bb80df0747740f5dbd34
138696,829547,2024-02-09 02:44:19,78,https://mempool.space/tx/83c5211a0369ce769c808152348b678470911c8cba737bffcf5d4c427b6b0708
138695,829546,2024-02-09 02:12:26,301,https://mempool.space/tx/0207b1be488d41eb058fe78c9a5788f9746683eb9b0e732134a8555793e667c4
138694,829545,2024-02-09 02:09:00,198,https://mempool.space/tx/be1a2d3ba5536942bdd31038f6c54df95ac50fc9654b7148d7b7d9fb379ae14c
138693,829544,2024-02-09 01:56:44,35,https://mempool.space/tx/ad07213770e4729b31c7b78b212bc7eff390fcdf687abbce159e04f5c1326e94
138692,829543,2024-02-09 01:52:54,115,https://mempool.space/tx/f645e28d6a4bebce2f8d6ad2088d556ef7a3446123ff779c16365720b78bd734
138691,829542,2024-02-09 01:47:10,165,https://mempool.space/tx/7003ce50a8138278b663ffa7478b702401d86e37f451c70fb1e654a948ab2249
138690,829541,2024-02-09 01:40:43,44,https://mempool.space/tx/4fd69999a71776a2e9d232b200446ce7192aa57b1c8a45f9c720bbdee593e553
138689,829540,2024-02-09 01:40:01,116,https://mempool.space/tx/24cb11a75ea4651f60f61317d3be47613f75ccc99f1b8b495f9c6c99968f94f9
138688,829539,2024-02-09 01:30:24,181,https://mempool.space/tx/81c6e65200e5836f6f4fa8b394eac13302e3c04bc67456e4310e1cc9f084610e
138687,829538,2024-02-09 01:24:10,216,https://mempool.space/tx/f6fcaa29ba74744e83fcb41303482d9793bb76200f29a881466fa7c036a76066
138686,829537,2024-02-09 01:11:18,42,https://mempool.space/tx/fd421b5e502bdbb776f3487a41cc60e71b811dc9d36fadbb9cc18c66c044fa68
138685,829536,2024-02-09 01:09:47,56,https://mempool.space/tx/2d1d2776027e909abbfe9e20a2a797a5b174b7dd15fc5e8a67f1d0de164c7aaa
138684,829535,2024-02-09 01:04:04,67,https://mempool.space/tx/16230e46910eacf3a149837b6aaf72f78db99e73b4ede1ee798f056b3eff394f
138683,829534,2024-02-09 01:01:48,93,https://mempool.space/tx/f7c9d46202493030dbb11b4915c0497a65c3e8d5fcacc4bfdbad678c01cfcdde
138682,829533,2024-02-09 00:56:30,126,https://mempool.space/tx/8386500af4b1c551d55af5ff95137941e64b5e4d0ca21584d71726035e166e5a
138681,829531,2024-02-09 00:51:04,144,https://mempool.space/tx/45128057039219ba34e0a0420463e1228bd427d88566d1ca8d893d0f157b1341
138680,829530,2024-02-09 00:45:16,92,https://mempool.space/tx/d8aba80247d48758cef6712e3afb55a2781a3423b0cd27f552bbcc344cb9a797
138679,829529,2024-02-09 00:41:11,379,https://mempool.space/tx/a231e2a0c6ba4e48f8e8075dd5987d5517979b5cf5c4216402757ae0fd1fa8ee
138678,829528,2024-02-09 00:22:25,65,https://mempool.space/tx/eb5aa54f2efb3426f6e28e6109b403f50a10cb0b7ec40d15b246a79f4f457cb7
138677,829527,2024-02-09 00:19:07,187,https://mempool.space/tx/9577acb5560b3cd679f222b9228272771262e33d2ec60bdceaadc950bba7ace6
138676,829525,2024-02-08 23:54:43,91,https://mempool.space/tx/e43121d8b2bb27db8dfc91d8430bb1aef5c1e2cf34a81b7925281d272798c1df
138675,829524,2024-02-08 23:44:30,76,https://mempool.space/tx/d4bd34d97736726df31072ca99c4580c43083390b91a89ff8a26a451277adfa5
138674,829523,2024-02-08 23:43:05,192,https://mempool.space/tx/478d1f7b3c3fe03d2b7debcf294d86014842783b114507bfbbe9c9bf8986f83d
138673,829522,2024-02-08 23:22:13,68,https://mempool.space/tx/904632a14576f320ee0070f9cd34c746dbaf392cb2b44f4e077795632320ca69
138672,829521,2024-02-08 23:08:30,294,https://mempool.space/tx/8c3cca42897d615128588d004494e0853e9e8c5e133181b83fc087b714885ddf
138671,829520,2024-02-08 23:01:39,153,https://mempool.space/tx/aa0dd7000be228814dd96ab2b5c498b80a4e3808bf97e12446428c5b54173b05
138670,829519,2024-02-08 22:26:01,59,https://mempool.space/tx/da9f74a1ed89c998d5adce46f1df98ce86f8e434cbb5db8f2a06d8a940e4d36d
138669,829518,2024-02-08 22:10:35,44,https://mempool.space/tx/978169bbe4f51b67a01a47ee15826616f25e937fe88b4cddc78e80331a9beeb3
138668,829517,2024-02-08 22:04:36,220,https://mempool.space/tx/881e9401f00dc6cde6b22992635f1c99a3c12d4163abb01590347e1a506d2cc1
138667,829515,2024-02-08 22:01:55,67,https://mempool.space/tx/314dd724ea0dfd9944a8b6d34e9f571eb71384565010c72e98bd3182f9d4dc7c
138666,829514,2024-02-08 21:48:54,749,https://mempool.space/tx/3648f5c805ddb773d4633e5f9f5692d6b14a2627092848864b969ccd8d5f212a
138665,829512,2024-02-08 21:04:55,81,https://mempool.space/tx/46d4544b78b96c9dd985f2f2f1718d13ebc93b1a7c7c47bd0227a82f59bee7ff
138664,829511,2024-02-08 20:56:04,87,https://mempool.space/tx/0f0e481717af5b329aff663defc5480c6fac7bc6869e2f1619bfbc38822bd180
138663,829510,2024-02-08 20:49:54,619,https://mempool.space/tx/1dd411b671ec5cc7306ccff63d1a883efcf6374bc49a4c138613357fd58054d6
138662,829509,2024-02-08 20:43:01,95,https://mempool.space/tx/7f9e24d165e2688881b9f572ae0fb9b2a48aa561ee0a73a9e9489bf070710122
138661,829508,2024-02-08 20:14:41,223,https://mempool.space/tx/89f5a875e316888c6731d96c83408c1649b9527b591cb8bca6dbfbfa0368ef35
138660,829507,2024-02-08 20:08:10,509,https://mempool.space/tx/2112760aa5fa13dbad786b83bd9d872189f04c7d56681253fe1713de4e314d62
138659,829506,2024-02-08 19:44:21,277,https://mempool.space/tx/99e192abbc4fae7f07cad6ba1729c35042a0400b6ad83949a48ff740d31ab333
138658,829505,2024-02-08 19:22:34,813,https://mempool.space/tx/257e09ecebb1aed53844736b1f2196b2e2f7ca21d8a586c1678c3b0bae360448
138657,829503,2024-02-08 19:07:19,344,https://mempool.space/tx/d0f82018f1edd39e648fe8d2ffb91f8bce9ade6d2ad4cf8537dd8fd3e7a68ca8
138656,829502,2024-02-08 18:35:08,279,https://mempool.space/tx/71305c87dd0ff28269060a0d5a134328510f3b74941b1d52f85acff6d1328153
138655,829501,2024-02-08 18:25:59,266,https://mempool.space/tx/14e899691977349e4c98be55c6f21e5ff0689eb0552a2205cdd8851ff3c9cfca
138654,829499,2024-02-08 18:20:00,257,https://mempool.space/tx/b6400ff76e9c26d02acc79cc46e4b2e7bf5d3dc3c1c320da55835a0c215270f2
138653,829498,2024-02-08 18:15:48,100,https://mempool.space/tx/e016184ace04ddf66636cf0e91ffc6a2710ce057afe0e33f26969d365c7903c0
138652,829497,2024-02-08 18:10:59,563,https://mempool.space/tx/1abd924e2c6b36cf3d1b2e7e4e067e9057ab89321bfd81c43576dde1b1d466b2
138651,829496,2024-02-08 18:07:54,46,https://mempool.space/tx/34d6d46e9bfacf52f689d7c379f5a707866a88ab67277771fe1d2dcb292f0a43
138650,829495,2024-02-08 18:05:41,649,https://mempool.space/tx/3dcaf024c3d3da7f5412becb1c5f7e5788870b44184f0c37babb486d3f8e1297
138649,829494,2024-02-08 17:50:26,269,https://mempool.space/tx/e1f64f0000cfa0631c8fe1623680655a57c99e7f44c241b09f7d2042ef2a6fa5
138648,829491,2024-02-08 17:24:48,365,https://mempool.space/tx/27fd30c4db7c1eb4a650ea86b73e06cf570890ec36832be6160d35774fa11b90
138647,829490,2024-02-08 17:16:07,248,https://mempool.space/tx/ff827ace7b85824e9754f9b121ba60cc77ea123ab4b39b54ffb6cfab771847b8
138646,829489,2024-02-08 16:56:51,89,https://mempool.space/tx/14be7e68cb5b38f084ff84b462fbfc2f4e09ec58f3f7683195bf91c9db5dce94
138645,829488,2024-02-08 16:54:19,231,https://mempool.space/tx/3fb682a9e4f18c0e32459a57de79c214b5bd30de90218df866d77d157cb94d16
138644,829487,2024-02-08 16:50:32,38,https://mempool.space/tx/8ebdf118778c9273d0dbda7fc2f943b05325f144b341ab673a24aa8b5f8ba294
138643,829486,2024-02-08 16:48:40,206,https://mempool.space/tx/6c4b0059d76cc87f2c6ed707be77cdeaa9fe0ffcfe01a781ac3406e595b311c6
138642,829485,2024-02-08 16:45:00,201,https://mempool.space/tx/a82ad0dfef008944ec9a56dd900ed7c4d72b3b969c41751af64f937cf0e7b0b1
138641,829484,2024-02-08 16:37:12,950,https://mempool.space/tx/27ce9c3136e7e22d9c32e98c8efb339a65b365e59068988d60e101d4ae0ce7fd
138640,829483,2024-02-08 16:20:56,128,https://mempool.space/tx/125c7f904e751ee965d757d2a5066c1d2f8e560b13e7c11dde06b3ed9e453329
138639,829482,2024-02-08 15:41:13,154,https://mempool.space/tx/99367690e16816451c92177324633253960ea227e5245c567f7274517f84bc46
138638,829481,2024-02-08 15:36:07,162,https://mempool.space/tx/616daa60c4a208e0d444242ef438fe667c2ed5a1d7c6283268ee4d0167e23718
138637,829480,2024-02-08 15:32:44,150,https://mempool.space/tx/e826b8125d1d8f3f1868bf4a18b26d8cc52c1a5f551789dc8191d885732430a7
138636,829479,2024-02-08 15:25:45,63,https://mempool.space/tx/673d83e0ab6ad25625c1a7435998ca61877cbbc8326b2cce89a7e4f14a08d26a
138635,829478,2024-02-08 15:20:58,147,https://mempool.space/tx/bd7502fef201a87649c9d7acafbbfda56e19dd1dd6eb5e765de8db9d91e7855b
138634,829477,2024-02-08 15:16:49,549,https://mempool.space/tx/37d259bebb93a35342fe6e3db0b049a1c5a17bc62b7edddf3a2d1ed74b5ef002
138633,829476,2024-02-08 15:08:57,166,https://mempool.space/tx/2f641d6f8c52931420980c1e99da9e53f65622bb1bdd5b38b2cf87aae7e06a79
138632,829475,2024-02-08 14:37:28,635,https://mempool.space/tx/9152f6e24ab87e51308b0a4b49600e64d58908a3dc9ba09cc62440b8bea02e9b
138631,829474,2024-02-08 14:23:59,46,https://mempool.space/tx/eb9be0fb0fa546131cbd855f5f3a8152d31a98b41796f6e32105de413aed4b62
138630,829467,2024-02-08 13:44:33,484,https://mempool.space/tx/f4872cd50f4fd26edf350e0b507d2065864256895e5438288025e5c7f937047b
138629,829464,2024-02-08 13:31:22,317,https://mempool.space/tx/b9272577472e7e8285fe9071ec4bd96052850d04789b9a20c1a0ea1c8f49fbd8
138628,829463,2024-02-08 13:20:19,134,https://mempool.space/tx/f22fbd244380dface2cd9f230fbadce57187a01f7d45f24d1d4356da3cd53e48
138627,829462,2024-02-08 13:10:24,550,https://mempool.space/tx/5dd1afa7a92af556f64b127b87028a25072089a51fc742d9f85fc4d280f1caef
138626,829459,2024-02-08 12:35:14,522,https://mempool.space/tx/c76cd2f4e99d0df658b2b055e27f38091450a996499af3fc8c5c2834c40f9740
138625,829456,2024-02-08 11:47:34,214,https://mempool.space/tx/d286bc96198156bd311bfef70ddc123972aa34c41febe9c891701d3351fbee74
138624,829454,2024-02-08 11:06:13,158,https://mempool.space/tx/881a2a542654222e3fa0b0e95bfe4a7d5ba9fcd61e299bed190e46ea9285cb5d
138623,829453,2024-02-08 11:03:30,166,https://mempool.space/tx/d8de2d8430674badc71c153ee81ad52cb0ebe0b9622f9e0bf68c4523c6b6e13c
138622,829452,2024-02-08 10:45:04,401,https://mempool.space/tx/b4a15d87a5a2cbbf3ca383b61cfd5334eaa998cefe2b72807a448f19452476dc
138621,829450,2024-02-08 10:12:46,181,https://mempool.space/tx/537a325d9aa5a045bd304d146a7683c75e0a042211b4bde74cdd27d340f383b1
138620,829449,2024-02-08 10:09:50,238,https://mempool.space/tx/d0371fc471d6f1e661567ccad8d3809bfc4611fdc8cc1f37f8114add92c8765e
138619,829448,2024-02-08 10:03:50,120,https://mempool.space/tx/f3aa9e1f9609db4b8c83ae6092e578de28130910d7fdcb860d4db7d6845ecd37
138618,829447,2024-02-08 09:54:06,174,https://mempool.space/tx/43912b6d66f89cf34a3919b733001e8a06eff70023d8e76de5db4c38b43cb0e6
138617,829446,2024-02-08 09:51:55,237,https://mempool.space/tx/6a23b4e6fa64424af8b979969691d5b165a619c50b946f5f612d835c3b184d82
138616,829445,2024-02-08 09:44:53,43,https://mempool.space/tx/64eea85da5a1668646a462d8ef33f589a9e91fa5a1dd9bad85398227d4e36e05
138615,829444,2024-02-08 09:43:39,151,https://mempool.space/tx/d3c007c3690bf7d48be2325f7813caf5250b64e9fb1a06572b8cdc791afe5768
138614,829443,2024-02-08 09:35:55,301,https://mempool.space/tx/d559bd37e67d6da97d863c224d8184a27851f68fb2affc985a703caa816fe517
138613,829442,2024-02-08 09:31:45,385,https://mempool.space/tx/9316c0bdae84f7cfc312a1a637e1eb61f326e881bfe7ec6d00b1c0a3b523c2ea
138612,829441,2024-02-08 09:20:30,712,https://mempool.space/tx/ac141b643f4d24bd5ea6ff8612e7667bbaf208ef4930ecc9b31026b071b6f3af
138611,829440,2024-02-08 08:49:04,225,https://mempool.space/tx/95fcb0c9bdda170be20a671bbdba25cf98cb7c971e3583bfba8102b1c48240f3
138610,829439,2024-02-08 08:46:42,293,https://mempool.space/tx/8e3fd82bec640d9ca9d994e135dfec3b9cd7ceb04fe61c30846012f9d457dacc
138609,829438,2024-02-08 08:26:57,22,https://mempool.space/tx/643b438681ad8023cde47f819c0c36fe6ccbb592c5041cf0d8b45bde4c298c6d
138608,829437,2024-02-08 08:25:03,48,https://mempool.space/tx/dffe079cf4c2e2c5d85fd3d96f64f4da23c121688c67642063f17fca3e21c03a
138607,829436,2024-02-08 08:12:11,127,https://mempool.space/tx/a86919e16d8475f4afccee71a6ed45ed9a9f68db17fbd4c8b978e449f476a8ad
138606,829435,2024-02-08 08:09:38,164,https://mempool.space/tx/293739a2683785632d0537625d1d0823677436f6ed643b602ef9674f338fc2d5
138605,829433,2024-02-08 08:03:19,571,https://mempool.space/tx/85e6b512d1f1113b420678f0048bd7a98bb41114dbbe60979e736c526ea4f312
138604,829430,2024-02-08 07:56:44,810,https://mempool.space/tx/4fa38bd168e2b0e6d5fd9cb5f809f61b55b0c8c463dcc6cfcd7fa76170b57df6
138603,829429,2024-02-08 07:54:21,183,https://mempool.space/tx/c76e1aa78fdf8f35e3d10e5e82bb771707be44644b285acfc26782205c395589
138602,829428,2024-02-08 07:33:14,593,https://mempool.space/tx/c89d98df8ec02cf8ee5a9cd8ab1812ebe4f3c3247a4c7da91fd7ce24610d277d
138601,829427,2024-02-08 07:29:39,555,https://mempool.space/tx/a0e279065e1fc97bb16a7b857af318cf5ca68094b74258a53445b7001c41e250
138600,829426,2024-02-08 07:24:43,12,https://mempool.space/tx/8d893354cdd719cdaef1e6b425620918b070b18de8793f1a0d62fd8e175483a2
138599,829425,2024-02-08 07:22:38,1859,https://mempool.space/tx/6d1b02e280ca843d365809db721ac2a6401527c37f256ccee263a08f081d9175
138598,829424,2024-02-08 07:14:09,328,https://mempool.space/tx/8b1cc816e02ea822fdccb1a4cd1c30396bfab72ccbf7ebb4bfb9375cd3aa869f
138597,829423,2024-02-08 07:12:09,177,https://mempool.space/tx/ace896c4d21be9ae0f106e71830edbec07ec266ea4c6ae06772a33e798bed801
138596,829422,2024-02-08 06:54:34,221,https://mempool.space/tx/67999c81c247d308c5c4a1f1850ec1fe14413d5c24cf79a889e732c753ecb329
138595,829421,2024-02-08 06:45:34,566,https://mempool.space/tx/2c0c5be6fe98b1fa98d94645bc6ec8977d057b8647faadaf8e86df5a9693dc80
138594,829420,2024-02-08 06:36:01,2,https://mempool.space/tx/52e4e36b77104147f293d83660bc76df3fc8e668e6a10d6b2966821d8c2a8922
138593,829419,2024-02-08 06:20:23,1,https://mempool.space/tx/4b38602754874c23f3caeb5d7d49d2217ccb6193a26fe3831edd79cabe6ae185
138592,829418,2024-02-08 05:56:57,355,https://mempool.space/tx/9c6b592d92b8b9600b3682df05882149da8bcafc62fe5342d8ced6dc985d29cf
138591,829417,2024-02-08 05:53:07,343,https://mempool.space/tx/45cf15a4a91c979fc2260165236bbcb2c2818179867f06c5f7c6d2b693a8575c
138590,829416,2024-02-08 05:34:34,427,https://mempool.space/tx/348004504c95bbc0876dec3b79f205d1e700681c6a730970a3d068fc916124ae
138589,829415,2024-02-08 05:23:54,664,https://mempool.space/tx/5a7fbba0bd4ea6350515cef013200bf738e17e6da5338d674d3a9dbbee82fc2a
138588,829414,2024-02-08 05:10:34,156,https://mempool.space/tx/6123ce7dffe4862c5c0dce7a34d54bb9600cf3cfad87d2eefe08e5fb545cc0f8
138587,829413,2024-02-08 04:38:01,288,https://mempool.space/tx/68c2e467c01a8d6abf1c6e13a18fa70363a4c6bd59af1b4d59766987da762ee9
138586,829412,2024-02-08 04:30:58,165,https://mempool.space/tx/f8431484d70d6f3dc50dcf3f31432561792349b1f7f067d6fabf96acb30009db
